,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
71,330,Waipawa,NZ,-41.4122,175.5153,61.45,69,100,13.24,Pinot Villas
72,334,Antofagasta,CL,-23.65,-70.4,67.28,79,82,4.59,Hotel Terrado Suites Antofagasta
73,335,Nizwá,OM,22.9333,57.5333,58.32,65,0,2.26,Alila Jabal Akhdar
74,337,Tuatapere,NZ,-46.1333,167.6833,66.81,51,100,5.68,Otautau Hotel
75,344,Arlit,NE,18.7369,7.3853,65.75,12,0,5.48,Hôtel Temet
76,349,Los Llanos de Aridane,ES,28.6585,-17.9182,60.55,80,75,8.05,H10 Taburiente Playa
77,354,Peniche,PT,39.3558,-9.3811,55.56,87,0,14.27,Praia D'El Rey Marriott Golf & Beach Resort
78,355,Manama,BH,26.2154,50.5832,62.58,67,0,9.22,Gulf Hotel Bahrain
79,361,Adrar,MR,20.5022,-10.0711,59.85,24,95,10.83,
80,363,Lashio,MM,22.9333,97.75,58.55,39,0,1.07,Tai House Resort
81,364,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,6.91,Hotel Club La Serena
82,370,Mumbwa,ZM,-14.9783,27.0619,64.33,94,94,2.71,La Hacienda
83,377,Abu Dhabi,AE,24.4667,54.3667,62.96,82,20,6.91,"Marriott Hotel Downtown, Abu Dhabi"
84,380,Kaitangata,NZ,-46.2817,169.8464,60.93,70,99,6.62,Hotel Saint Clair
85,385,Ishigaki,JP,24.3448,124.1572,66.33,88,75,14.97,Beach Hotel Sunshine
86,386,Coyhaique,CL,-45.5752,-72.0662,63.21,55,82,3.44,Patagonia Green
87,391,Guerrero Negro,MX,27.9769,-114.0611,69.04,38,6,9.66,The Halfway Inn
88,393,Kruisfontein,ZA,-34.0033,24.7314,65.88,92,100,11.9,The Sands @ St. Francis Bay
89,397,Waitati,NZ,-45.75,170.5667,61.81,61,51,5.86,The Victoria Hotel Dunedin
90,399,Dakar,SN,14.6937,-17.4441,68.88,67,97,19.93,Lamantin Beach Hotel
91,400,Kisangani,CD,0.5167,25.2,68.94,89,99,3.02,New Palm Beach Hotel
92,403,Bukama,CD,-9.2,25.85,67.78,99,100,2.26,
93,419,Verāval,IN,20.9,70.3667,64.8,71,6,10.45,The Fern Gir Forest Resort
94,423,Salta,AR,-24.7859,-65.4117,64.69,81,100,6.91,Sheraton Salta Hotel
95,425,Kaliua,TZ,-5.0606,31.7936,64.29,96,100,3.09,Millennium Complex
96,441,Pasni,PK,25.2631,63.471,69.33,46,95,13.96,Juddi Hotel
97,443,Zeerust,ZA,-25.5369,26.0751,61.61,49,27,5.5,Protea Hotel by Marriott Mahikeng
98,448,Ikom,NG,5.9667,8.7063,69.93,68,13,1.34,Jorany Hotel Resort Ikom
99,455,San Quintín,MX,30.4833,-115.95,66.81,39,0,8.43,Mision Santa Maria
100,456,Amposta,ES,40.7131,0.581,55.06,78,100,3.33,H10 Cambrils Playa
101,464,Puerto del Rosario,ES,28.5004,-13.8627,62.35,77,4,5.75,Elba Carlota Beach & Convention Resort
102,466,Constitución,CL,-35.3333,-72.4167,58.86,90,64,2.93,Hotel Iloca
103,470,Beihai,CN,21.4833,109.1,56.1,71,20,15.68,"Shangri-La Hotel, Beihai"
104,473,Nouakchott,MR,18.0858,-15.9785,67.93,44,98,10.0,Monotel (Dar El Barka)
105,490,Posse,BR,-14.0931,-46.3694,68.07,90,74,1.61,Hotel J&M
106,498,Esqueda,MX,30.7167,-109.5833,54.55,21,0,3.67,Hotel Nacozari
107,499,Dongli,CN,23.5656,116.8194,57.18,82,40,8.95,Shantou International Hotel
108,501,Sanlúcar de Barrameda,ES,36.7781,-6.3515,57.31,82,20,5.75,Elba Costa Ballena Beach & Thalasso Resort
109,503,North Bend,US,43.4065,-124.2243,51.24,95,100,7.27,Sunset Oceanfront Lodging
110,504,Colares,PT,38.7992,-9.4469,55.26,72,0,20.0,WC by The Beautique Hotels
111,506,Sémbé,CG,1.6481,14.5806,69.58,81,100,2.66,
112,507,Pisco,PE,-13.7,-76.2167,67.01,88,17,2.1,Aranwa Paracas Resort & Spa
113,511,Nishihara,JP,26.1842,127.7558,64.06,88,75,18.41,Renaissance Okinawa Resort
114,514,Rabo de Peixe,PT,37.8,-25.5833,57.27,81,75,4.61,VIP Executive Azores Hotel
115,518,Arrondissement du Havre,FR,49.5833,0.3333,52.23,93,100,18.79,Le Donjon - Domaine Saint Clair
116,519,Dwārka,IN,22.2394,68.9678,68.27,64,0,6.31,The Dwarika Hotel
117,520,Bhawānipatna,IN,19.9,83.1667,59.77,24,6,1.95,Hotel Centre Park
118,540,Mzimba,MW,-11.9,33.6,59.86,98,99,2.04,Grand Palace Hotel
119,545,Bétaré Oya,CM,5.6,14.0833,67.6,25,87,1.68,
120,547,Tahoua,NE,14.8888,5.2692,69.6,11,3,9.28,Hotel Etab
121,552,Chontalpa,MX,17.7,-93.5167,65.23,92,100,12.71,Hotel Madan Cardenas
122,554,Buritis,BR,-15.6178,-46.4233,69.39,93,25,0.83,Hotel Rainha do Vale
123,561,Macenta,GN,8.5435,-9.471,65.75,26,26,0.72,Lonestar guest house
124,566,Alta Gracia,AR,-31.6529,-64.4283,65.55,71,0,3.36,"Holiday Inn Cordoba, an IHG Hotel"
125,571,Gwadar,PK,25.1216,62.3254,69.53,71,36,4.25,Zaver Pearl Continental Hotel
126,576,Burē,ET,10.7,37.0667,58.95,46,5,4.43,ደጀኔ ማሞ ሆቴል
127,578,Benghazi,LY,32.1167,20.0667,55.18,72,5,4.14,Tibesti Hotel
128,582,Kutum,SD,14.2,24.6667,58.08,20,7,8.34,مسجد دليبة العتيق
129,588,Camacha,PT,33.0833,-16.3333,57.96,72,20,3.44,Vila Baleira Resort
130,590,Uvinza,TZ,-5.1036,30.3911,64.11,96,100,3.18,Manchester lodge
131,606,San Jerónimo,PE,-11.9472,-75.2829,50.18,87,100,2.44,Hotel Turismo Huancayo
